customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,Age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,Laraine,Medendorp,Female,93,1953-10-12,69.0,60-70,Executive Secretary,Health,Mass Customer,N,Yes,11.0
2,Eli,Bockman,Male,81,1980-12-16,42.0,40-50,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0
3,Arlin,Dearle,Male,61,1954-01-20,69.0,60-70,Recruiting Manager,Property,Mass Customer,N,Yes,15.0
4,Talbot,,Male,33,1961-10-03,61.0,60-70,Other,IT,Mass Customer,N,No,7.0
6,Curr,Duckhouse,Male,35,1966-09-16,56.0,50-60,Other,Retail,High Net Worth,N,Yes,13.0
7,Fina,Merali,Female,6,1976-02-23,47.0,40-50,Other,Financial Services,Affluent Customer,N,Yes,11.0
9,Mala,Lind,Female,97,1973-03-10,49.0,40-50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0
10,Fiorenze,Birdall,Female,49,1988-10-11,34.0,30-40,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0
11,Uriah,Bisatt,Male,99,1954-04-30,68.0,60-70,Other,Property,Mass Customer,N,No,9.0
12,Sawyere,Flattman,Male,58,1994-07-21,28.0,20-30,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0
13,Gabriele,Norcross,Male,38,1955-02-15,68.0,60-70,Developer I,Financial Services,High Net Worth,N,Yes,8.0
14,Rayshell,Kitteman,Female,85,1983-03-25,39.0,30-40,Account Executive,Financial Services,Affluent Customer,N,No,6.0
15,Erroll,Radage,Male,91,2000-07-13,22.0,20-30,Junior Executive,Manufacturing,Mass Customer,N,No,1.0
19,Sorcha,Keyson,Female,76,2001-04-15,21.0,20-30,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0
20,Basile,Firth,Male,72,1980-08-13,42.0,40-50,Project Manager,Manufacturing,Mass Customer,N,No,11.0
21,Mile,Cammocke,Male,74,1980-09-20,42.0,40-50,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0
22,Deeanne,Durtnell,Female,79,1962-12-10,60.0,50-60,Other,IT,Mass Customer,N,No,11.0
24,Kim,Skpsey,Female,55,1977-12-03,45.0,40-50,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0
25,Geoff,Assaf,Male,72,1976-12-02,46.0,40-50,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0
